Scouter Name,Team #,Alliance,Match Number,Quaification Match,Quarterfinal Match,Semifinal Match,Final Match,Starting Level,Hatches Level 1,Hatches Level 2,Hatches Level 3,Cargo Level 1,Cargo Level 2,Cargo Level 3,Endgame Level 1,Endgame Level 2,Endgame Level 3,Robot Disabled,Robot Carry Level 1,Robot Carry Level 2,Robot Carry Level 3
ricky ,7451,Red,29,Yes,No,No,No,2,2,1,1,0,0,0,1,0,0,0,0,0,0
Antonio,2976,Red,29,Yes,No,No,No,1,3,0,0,3,0,0,0,0,0,0,0,0,0
michael,5700,Blue,29,Yes,No,No,No,2,1,0,0,2,0,0,1,0,0,1,0,0,0
Ram,2168,Blue,29,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio,7433,Red,30,Yes,No,No,No,1,1,0,0,4,0,0,0,0,1,0,0,0,0
michael,1425,Blue,30,Yes,No,No,No,2,2,0,0,3,0,0,0,0,1,0,0,0,0
Ram,4550,Blue,30,Yes,No,No,No,1,2,0,0,2,0,0,0,0,0,0,0,0,0
brett,6934,Blue,30,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
donald,3635,Red,30,Yes,No,No,No,01,2,0,0,0,0,0,1,0,1,0,0,0,0
ricky ,4013,Red,30,Yes,No,No,No,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio,6919,Red,31,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Antonio,2357,Red,32,Yes,No,No,No,1,2,0,0,2,0,0,1,0,0,0,0,0,0
brett,2992,Blue,32,Yes,No,No,No,2,0,0,0,3,0,0,0,1,0,0,0,0,0
fernando,1899,Red,32,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ricky,2122,Red,32,Yes,No,No,No,0,2,2,1,0,2,2,0,0,1,0,0,0,0
Ram,4183,Blue,32,Yes,No,No,No,1,0,0,0,3,0,0,0,0,0,0,1,0,0
Ram,6814,Blue,33,Yes,No,No,No,2,2,0,0,1,0,0,0,0,0,0,0,0,0
Antonio,6485,Red,33,Yes,No,No,No,1,2,2,0,3,0,0,1,0,0,0,0,0,0
maverick,7447,Blue,33,Yes,No,No,No,2,1,0,0,4,0,0,1,0,1,0,0,0,0
ricky,2637,Red,33,Yes,No,No,No,2,1,0,0,3,0,0,0,1,0,0,0,0,0
brett,3794,Blue,33,Yes,No,No,No,1,0,1,0,0,0,0,1,0,0,0,0,0,0
fernando,7607,Red,33,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,1,0,0,0
brett,1072,Blue,34,Yes,No,No,No,2,2,0,0,2,0,0,0,0,0,0,0,0,0
Ram,6988,Blue,34,Yes,No,No,No,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Antonio,1311,Red,34,Yes,No,No,No,1,2,0,2,1,1,1,0,0,0,0,0,0,0
fernando,744,Red,34,Yes,No,No,No,1,2,2,1,1,2,1,1,0,1,0,0,0,0
ricky,3824,Red,34,Yes,No,No,No,2,0,0,0,3,0,0,0,0,0,0,0,0,0
Ivan,7121,Blue,34,Yes,No,No,No,1,3,0,0,3,0,0,1,0,0,0,0,0,0
Antonio,4499,Red,35,Yes,No,No,No,2,1,0,0,5,0,0,0,1,0,0,0,0,0
ricky,4087,Red,35,Yes,No,No,No,2,3,0,0,0,0,0,0,0,1,0,0,0,0
Ivan,5022,Blue,37,No,No,No,No,1,2,0,0,5,0,0,0,0,0,0,0,0,0
brett,6064,Blue,36,No,No,No,No,2,2,0,0,1,0,0,0,0,0,0,0,0,0
