Scouter Name,Team #,Alliance,Match Number,Quaification Match,Quarterfinal Match,Semifinal Match,Final Match,Starting Level,Hatches Level 1,Hatches Level 2,Hatches Level 3,Cargo Level 1,Cargo Level 2,Cargo Level 3,Endgame Level 1,Endgame Level 2,Endgame Level 3,Robot Disabled,Robot Carry Level 1,Robot Carry Level 2,Robot Carry Level 3
kylie,2710,Red,95,Yes,No,No,No,2,0,0,0,5,0,0,0,1,0,0,0,0,0
fernando,7447,Red,95,Yes,No,No,No,2,1,0,0,0,0,0,1,0,0,0,0,0,0
brett,3635,Blue,95,Yes,No,No,No,1,2,0,0,4,0,0,1,0,0,0,0,0,0
Grant Cozzi,7447,Red,95,Yes,No,No,No,2,1,0,0,0,0,0,1,0,0,0,0,0,0
ricky,2122,Red,95,Yes,No,No,No,01,5,0,0,3,0,0,0,0,1,0,0,0,0
michael,1987,Blue,95,Yes,No,No,No,2,1,0,0,4,0,0,1,0,0,1,0,0,0
ricky,4087,Red,96,Yes,No,No,No,02,1,0,0,0,0,0,0,0,1,0,0,0,0
brett,6907,Blue,96,Yes,No,No,No,1,1,0,0,6,0,0,0,1,0,0,0,0,0
Grant Cozzi,4020,Red,96,Yes,No,No,No,2,3,0,0,3,0,0,0,1,0,0,0,0,0
fernando,4020,Red,96,Yes,No,No,No,2,2,0,0,5,0,0,0,1,0,0,0,0,0
kylie,4063,Red,96,Yes,No,No,No,1,1,0,0,3,0,0,0,1,0,0,0,0,0
Ram,2438,Blue,96,Yes,No,No,No,2,0,0,0,0,0,0,0,0,0,1,0,0,0
michael,2992,Blue,96,Yes,No,No,No,2,2,0,0,2,0,0,0,0,1,0,0,0,0
fernando,4192,Red,97,Yes,No,No,No,2,1,0,0,0,0,0,0,1,0,0,0,0,0
Grant Cozzi,4192,Red,97,Yes,No,No,No,2,2,0,0,0,0,0,0,1,0,0,0,0,0
Ram,3794,Blue,97,Yes,No,No,No,0,0,0,0,3,0,0,1,0,0,0,0,0,0
kylie,3476,Red,97,Yes,No,No,No,1,3,2,2,2,2,2,1,0,0,0,0,0,0
brett,691,Blue,97,Yes,No,No,No,2,3,2,0,0,0,0,1,0,0,0,0,0,0
michael,1425,Blue,97,Yes,No,No,No,1,0,0,0,3,2,0,0,0,1,0,0,0,0
ricky,832,Red,97,Yes,No,No,No,01,0,0,0,3,0,0,0,0,1,0,0,0,0
michael,6814,Blue,98,Yes,No,No,No,2,3,0,0,0,0,0,0,1,1,0,0,0,0
Ram,2976,Blue,98,Yes,No,No,No,1,2,0,0,4,0,0,1,0,0,0,0,0,0
brett,5887,Blue,98,Yes,No,No,No,2,0,0,0,1,0,0,1,0,0,0,0,0,0
fernando,7121,Red,98,Yes,No,No,No,2,0,0,0,6,0,0,1,0,0,0,0,0,0
kylie,2046,Red,98,Yes,No,No,No,2,2,0,1,0,0,0,0,0,0,1,0,0,0
ricky,6838,Red,98,Yes,No,No,No,01,1,0,0,0,0,0,1,0,0,0,0,0,0
Grant Cozzi,7121,Red,98,Yes,No,No,No,2,0,0,0,6,0,0,1,0,0,0,0,0,0
Sarah,6506,Red,99,Yes,No,No,No,2,0,0,0,2,0,0,1,0,0,0,0,0,0STOPPER
ivan,7607,Red,99,Yes,No,No,No,2,0,0,0,3,0,0,1,0,0,0,0,0,0
kylie,6506,Red,99,Yes,No,No,No,2,0,0,0,2,0,0,0,0,0,0,1,0,0
zac,2714,Blue,99,Yes,No,No,No,2,1,0,2,4,2,2,1,0,0,0,0,0,0
skyler,6919,Blue,99,Yes,No,No,No,1,0,0,0,0,0,0,0,0,1,0,0,0,0
hailey,7461,Red,99,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ivan,1311,Red,100,Yes,No,No,No,2,0,0,0,7,0,0,0,0,0,0,0,0,0
ethan,2441,Blue,100,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
kylie,6413,Red,100,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Sarah,6413,Red,100,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zac,4910,Blue,100,Yes,No,No,No,1,2,2,0,2,2,0,1,0,0,0,0,0,0
hailey,3616,Red,100,Yes,No,No,No,2,7,0,0,0,0,0,1,0,0,0,0,0,0
skyler,2637,Blue,101,No,No,No,No,2,0,0,0,3,0,0,0,1,0,0,0,0,0
Sarah,4550,Red,101,No,No,No,No,1,3,0,0,3,0,0,1,0,0,0,0,0,0
kylie,4550,Red,101,Yes,No,No,No,1,3,0,0,2,0,0,1,0,0,0,0,0,0
zac,7427,Blue,101,Yes,No,No,No,1,2,0,0,1,0,0,0,0,1,0,0,0,0
ivan,5013,Red,101,Yes,No,No,No,1,0,0,0,3,0,0,1,0,0,0,0,0,0
hailey,3834,Red,101,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ethan,1899,Blue,101,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
skyler,5022,Blue,102,Yes,No,No,No,1,4,0,0,2,0,0,1,0,0,0,0,0,0
Sarah,6934,Red,102,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
zac,1072,Blue,102,Yes,No,No,No,2,1,0,0,1,0,0,1,0,0,0,0,0,0
ivan,4183,Red,102,Yes,No,No,No,1,1,0,0,5,0,0,0,0,1,0,0,0,0
kylie,6934,Red,102,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
ethan,7635,Blue,102,Yes,No,No,No,2,0,0,0,3,0,0,0,0,0,0,0,0,0
hailey,3735,Red,102,Yes,No,No,No,2,4,0,0,1,0,0,0,1,0,0,0,0,0
null,null,null,null,null,null,null,null,2,1,0,0,1,0,0,1,0,0,0,0,0,0
Sarah,4020,Red,103,Yes,No,No,No,2,2,0,0,1,0,0,1,0,0,0,0,0,0
kylie,4020,Red,103,Yes,No,No,No,2,2,0,0,1,0,0,1,0,0,0,0,0,0
ethan,7787,Blue,103,Yes,No,No,No,1,0,0,0,4,0,0,0,0,0,0,0,0,0
ivan,832,Red,103,Yes,No,No,No,1,1,0,0,1,0,0,1,0,0,0,0,0,0
hailey,5887,Red,103,Yes,No,No,No,2,0,0,0,1,0,0,1,0,0,0,0,0,0
zac,4192,Blue,103,No,No,No,No,2,1,0,0,0,0,0,0,1,0,0,0,0,0
skyler,3824,Blue,104,Yes,No,No,No,2,1,0,0,2,0,0,0,1,0,0,0,0,0
ivan,4087,Red,104,Yes,No,No,No,2,1,0,0,0,0,0,1,0,0,0,0,0,0
hailey,2357,Red,104,Yes,No,No,No,1,3,0,0,4,0,0,1,0,0,0,0,0,0STOPPER
Sarah,7607,Red,104,Yes,No,No,No,2,0,0,0,1,0,0,1,0,0,0,0,0,0
zac,7461,Blue,104,Yes,No,No,No,2,0,0,0,0,0,0,0,1,0,0,0,0,0
ivan,7121,Red,105,Yes,No,No,No,2,0,0,0,5,0,0,0,1,0,0,0,0,0
Sarah,6814,Red,105,No,No,No,No,2,1,0,0,0,0,0,1,0,0,0,0,0,0
zac,6704,Blue,105,Yes,No,No,No,1,0,0,0,1,0,0,1,0,0,0,0,0,0
skyler,6064,Blue,105,Yes,No,No,No,2,2,0,0,4,0,0,1,0,0,0,0,0,0
mikayla,6814,Red,105,No,No,No,No,2,1,0,0,0,0,0,1,0,0,0,0,0,0
hailey,1425,Red,105,Yes,No,No,No,1,2,0,0,1,0,0,0,0,1,0,0,0,0
ethan,2441,Blue,105,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
mikayla,744,Blue,106,Yes,No,No,No,1,1,2,2,0,1,2,0,0,1,0,0,0,0
Sarah,744,Red,106,Yes,No,No,No,2,1,2,2,2,2,2,0,0,1,0,0,0,0
ivan,2438,Red,106,Yes,No,No,No,0,3,0,0,0,0,0,1,0,0,0,0,0,0
skyler,2046,Blue,106,Yes,No,No,No,2,3,1,1,2,2,1,0,0,1,0,0,0,0
zac,6413,Blue,106,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ethan,7451,Blue,106,Yes,No,No,No,2,3,1,1,0,0,0,0,1,0,0,0,0,0
hailey,59,Red,106,Yes,No,No,No,2,3,1,0,1,0,0,0,1,0,0,0,0,0
kylie,3663,Red,107,Yes,No,No,No,2,1,0,0,2,0,0,0,0,1,0,0,0,0
Sarah,3663,Red,107,Yes,No,No,No,2,0,0,0,2,0,0,0,0,1,0,0,0,0
fernando,6934,Red,107,Yes,No,No,No,2,0,0,0,0,0,0,0,0,0,1,0,0,0
zac,3834,Blue,107,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zac,3834,Blue,107,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zac,3834,Blue,107,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
hailey,6907,Red,107,Yes,No,No,No,1,1,0,0,6,0,0,0,1,0,0,0,0,0
ethan,5308,Blue,107,Yes,No,No,No,2,5,0,0,4,0,0,0,0,1,0,0,0,0
zac,2710,Blue,108,Yes,No,No,No,2,0,0,0,6,0,0,0,1,0,0,0,0,0
Sarah,6838,Red,108,Yes,No,No,No,2,0,0,0,4,0,0,1,0,0,0,0,0,0
skyler,6919,Blue,108,Yes,No,No,No,1,0,0,0,0,0,0,0,0,1,0,0,0,0
hailey,4550,Red,108,Yes,No,No,No,1,0,0,0,0,0,0,0,1,0,0,0,0,0
kylie,6838,Red,108,Yes,No,No,No,2,0,0,0,4,0,0,1,0,0,0,0,0,0
ethan,4499,Blue,108,Yes,No,No,No,2,3,0,0,1,0,0,0,1,0,0,0,0,0
zac,3476,Blue,109,Yes,No,No,No,1,4,2,2,3,2,2,0,0,1,0,0,0,0
hailey,4063,Red,109,Yes,No,No,No,1,1,0,0,0,0,0,0,1,0,0,0,0,0STOPPER
Sarah,6485,Red,109,Yes,No,No,No,0,2,1,0,3,0,0,0,0,1,0,0,0,0
ethan,3735,Blue,109,Yes,No,No,No,2,0,0,0,5,0,0,0,1,0,0,0,0,0
Sarah,6988,Red,110,Yes,No,No,No,1,1,0,0,0,0,0,1,0,0,0,0,0,0
zac,7635,Blue,110,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
kylie,6988,Red,110,Yes,No,No,No,1,1,0,0,0,0,0,1,0,0,0,0,0,0
hailey,4013,Red,110,Yes,No,No,No,2,1,0,0,5,0,0,1,0,0,0,0,0,0
ethan,7427,Blue,110,Yes,No,No,No,1,4,0,0,4,0,0,0,0,1,0,0,0,0
hailey,1899,Red,111,No,No,No,No,1,0,0,0,1,0,0,1,0,0,0,0,0,0
zac,7447,Blue,111,No,No,No,No,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Sarah,6885,Red,111,Yes,No,No,No,1,0,0,0,1,0,0,0,0,0,0,0,0,0
